timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:24:26, 18.13, 50.67, 1007.76, 2.27, 321, 
2021/10/24 12:24:27, 18.13, 50.64, 1007.76, 2.71, 321, 
2021/10/24 12:24:28, 18.14, 50.59, 1007.75, 2.93, 320, 
2021/10/24 12:24:29, 18.14, 50.58, 1007.74, 2.93, 321, 
2021/10/24 12:24:30, 18.14, 50.57, 1007.76, 2.71, 320, 
2021/10/24 12:24:31, 18.15, 50.56, 1007.77, 2.49, 321, 
2021/10/24 12:24:32, 18.14, 50.54, 1007.75, 2.71, 321, 
2021/10/24 12:24:33, 18.16, 50.52, 1007.80, 2.49, 323, 
2021/10/24 12:24:34, 18.16, 50.50, 1007.76, 2.71, 325, 
2021/10/24 12:24:35, 18.16, 50.46, 1007.73, 2.71, 323, 
2021/10/24 12:24:36, 18.18, 50.37, 1007.79, 2.49, 317, 
2021/10/24 12:24:37, 18.17, 50.35, 1007.77, 2.27, 318, 
2021/10/24 12:24:38, 18.18, 50.35, 1007.78, 2.27, 317, 
2021/10/24 12:24:39, 18.18, 50.29, 1007.75, 1.83, 317, 
2021/10/24 12:24:40, 18.19, 50.23, 1007.80, 1.83, 317, 
2021/10/24 12:24:41, 18.20, 50.16, 1007.79, 2.05, 317, 
2021/10/24 12:24:42, 18.20, 50.09, 1007.77, 2.05, 318, 
2021/10/24 12:24:43, 18.20, 50.06, 1007.75, 1.83, 318, 
2021/10/24 12:24:44, 18.20, 50.08, 1007.75, 1.61, 318, 
2021/10/24 12:24:45, 18.20, 50.11, 1007.76, 1.39, 317, 
2021/10/24 12:24:46, 18.22, 50.12, 1007.79, 1.61, 313, 
2021/10/24 12:24:55, 18.20, 49.63, 1007.79, 3.37, 300, 
timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:29:16, 17.51, 52.14, 1007.75, 1.83, 282, 
2021/10/24 12:29:17, 17.53, 52.18, 1007.74, 1.61, 282, 
2021/10/24 12:29:18, 17.54, 52.15, 1007.76, 1.61, 283, 
2021/10/24 12:29:19, 17.54, 52.09, 1007.74, 1.17, 282, 
2021/10/24 12:29:20, 17.55, 52.05, 1007.78, 1.17, 284, 
2021/10/24 12:29:21, 17.54, 52.00, 1007.74, 1.17, 281, 
2021/10/24 12:29:22, 17.55, 52.00, 1007.75, 1.17, 284, 
2021/10/24 12:29:23, 17.56, 52.02, 1007.76, 0.95, 281, 
2021/10/24 12:29:24, 17.56, 52.04, 1007.75, 0.73, 282, 
2021/10/24 12:29:25, 17.56, 52.01, 1007.73, 0.73, 282, 
2021/10/24 12:29:26, 17.57, 51.97, 1007.75, 0.51, 282, 
2021/10/24 12:29:27, 17.57, 51.96, 1007.77, 0.51, 282, 
2021/10/24 12:29:28, 17.56, 51.96, 1007.73, 0.51, 282, 
2021/10/24 12:29:29, 17.57, 51.94, 1007.75, 0.51, 282, 
2021/10/24 12:29:30, 17.57, 51.93, 1007.75, 0.29, 281, 
2021/10/24 12:29:31, 17.59, 51.93, 1007.78, 0.29, 281, 
2021/10/24 12:29:32, 17.58, 51.92, 1007.72, 0.07, 281, 
2021/10/24 12:29:33, 17.58, 51.94, 1007.74, 0.07, 281, 
2021/10/24 12:29:34, 17.59, 52.00, 1007.72, 0.07, 282, 
2021/10/24 12:29:35, 17.60, 52.04, 1007.74, 0.07, 280, 
2021/10/24 12:29:36, 17.60, 52.06, 1007.74, 0.00, 280, 
2021/10/24 12:29:37, 17.61, 52.00, 1007.78, 0.00, 281, 
2021/10/24 12:29:38, 17.60, 51.91, 1007.77, 0.00, 282, 
2021/10/24 12:29:39, 17.60, 51.88, 1007.72, 0.00, 280, 
2021/10/24 12:29:40, 17.60, 51.86, 1007.75, 0.00, 281, 
2021/10/24 12:29:41, 17.61, 51.85, 1007.77, 0.00, 282, 
2021/10/24 12:29:42, 17.60, 51.83, 1007.76, 0.07, 282, 
2021/10/24 12:29:43, 17.61, 51.84, 1007.75, 0.07, 281, 
2021/10/24 12:29:44, 17.61, 51.83, 1007.75, 0.07, 280, 
2021/10/24 12:29:45, 17.61, 51.83, 1007.73, 0.07, 281, 
2021/10/24 12:29:46, 17.62, 51.82, 1007.73, 0.07, 281, 
2021/10/24 12:29:47, 17.62, 51.82, 1007.75, 0.00, 281, 
2021/10/24 12:29:48, 17.62, 51.81, 1007.72, 0.00, 280, 
2021/10/24 12:29:49, 17.62, 51.78, 1007.75, 0.00, 280, 
2021/10/24 12:29:50, 17.63, 51.79, 1007.74, 0.00, 280, 
2021/10/24 12:29:51, 17.64, 51.79, 1007.75, 0.00, 281, 
2021/10/24 12:29:52, 17.64, 51.78, 1007.75, 0.00, 281, 
2021/10/24 12:29:53, 17.65, 51.78, 1007.76, 0.00, 282, 
2021/10/24 12:29:54, 17.65, 51.78, 1007.75, 0.00, 281, 
2021/10/24 12:29:55, 17.66, 51.78, 1007.75, 0.00, 282, 
2021/10/24 12:29:56, 17.68, 51.77, 1007.76, 0.00, 280, 
2021/10/24 12:29:57, 17.67, 51.77, 1007.73, 0.00, 281, 
2021/10/24 12:29:58, 17.67, 51.77, 1007.76, 0.00, 280, 
2021/10/24 12:29:59, 17.68, 51.77, 1007.78, 0.00, 281, 
2021/10/24 12:30:0, 17.69, 51.75, 1007.76, 0.00, 281, 
2021/10/24 12:30:1, 17.70, 51.75, 1007.76, 0.00, 282, 
2021/10/24 12:30:2, 17.71, 51.75, 1007.77, 0.00, 280, 
2021/10/24 12:30:3, 17.71, 51.73, 1007.78, 0.00, 281, 
2021/10/24 12:30:4, 17.72, 51.71, 1007.74, 0.00, 281, 
2021/10/24 12:30:5, 17.73, 51.68, 1007.78, 0.00, 280, 
2021/10/24 12:30:6, 17.73, 51.66, 1007.78, 0.00, 281, 
2021/10/24 12:30:7, 17.73, 51.62, 1007.77, 0.00, 282, 
2021/10/24 12:30:8, 17.73, 51.52, 1007.78, 0.00, 284, 
2021/10/24 12:30:9, 17.73, 51.40, 1007.78, 0.00, 287, 
2021/10/24 12:30:10, 17.74, 51.34, 1007.78, 0.07, 286, 
2021/10/24 12:30:11, 17.74, 51.27, 1007.77, 0.73, 286, 
2021/10/24 12:30:12, 17.74, 51.13, 1007.78, 1.17, 286, 
2021/10/24 12:30:13, 17.74, 51.01, 1007.77, 1.61, 299, 
2021/10/24 12:30:14, 17.73, 50.96, 1007.78, 1.83, 300, 
2021/10/24 12:30:15, 17.72, 50.94, 1007.75, 1.83, 303, 
2021/10/24 12:30:16, 17.73, 50.93, 1007.78, 1.83, 304, 
2021/10/24 12:30:17, 17.73, 50.92, 1007.79, 1.61, 304, 
2021/10/24 12:30:18, 17.73, 50.96, 1007.77, 1.39, 304, 
2021/10/24 12:30:19, 17.74, 50.98, 1007.77, 1.61, 303, 
2021/10/24 12:30:20, 17.73, 50.99, 1007.73, 1.61, 308, 
2021/10/24 12:30:21, 17.74, 50.92, 1007.79, 1.39, 309, 
2021/10/24 12:30:22, 17.74, 50.86, 1007.75, 1.61, 308, 
2021/10/24 12:30:23, 17.73, 50.85, 1007.75, 1.61, 309, 
2021/10/24 12:30:24, 17.73, 50.86, 1007.77, 1.61, 310, 
2021/10/24 12:30:25, 17.73, 50.87, 1007.74, 1.61, 309, 
