timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
MQTT --- 2021/10/24__11:1:45, 157.81, 79.45, 1267.61, 0.00, 180, 
MQTT --- 2021/10/24__11:1:46, 157.83, 79.45, 1267.65, 0.00, 180, 
MQTT --- 2021/10/24__11:1:47, 157.82, 79.45, 1267.64, 0.00, 180, 
MQTT --- 2021/10/24__11:1:48, 157.81, 79.44, 1267.60, 0.00, 180, 
MQTT --- 2021/10/24__11:1:49, 157.82, 79.42, 1267.59, 0.00, 180, 
MQTT --- 2021/10/24__11:1:50, 157.82, 79.42, 1267.62, 0.00, 180, 
MQTT --- 2021/10/24__11:1:51, 157.82, 79.40, 1267.64, 0.00, 180, 
MQTT --- 2021/10/24__11:1:52, 157.82, 100.00, 1267.63, 0.00, 180, 
MQTT --- 2021/10/24__11:1:53, 157.83, 79.38, 1267.63, 0.00, 202, 
MQTT --- 2021/10/24__11:1:54, 157.83, 79.38, 1267.60, 0.29, 29, 
MQTT --- 2021/10/24__11:1:55, 157.82, 79.37, 1267.58, 0.29, 0, 
MQTT --- 2021/10/24__11:1:56, 157.83, 79.37, 1267.61, 0.07, 22, 
MQTT --- 2021/10/24__11:1:57, 157.83, 79.36, 1267.63, 0.29, 180, 
MQTT --- 2021/10/24__11:1:58, 157.83, 79.34, 1267.61, 0.29, 180, 
MQTT --- 2021/10/24__11:1:59, 157.84, 79.34, 1267.63, 0.29, 180, 
MQTT --- 2021/10/24__11:2:0, 157.83, 79.34, 1267.61, 0.29, 180, 
MQTT --- 2021/10/24__11:2:1, 157.84, 79.34, 1267.62, 0.29, 180, 
MQTT --- 2021/10/24__11:2:2, 157.84, 79.34, 1267.60, 0.07, 180, 
MQTT --- 2021/10/24__11:2:3, 157.84, 79.34, 1267.61, 0.29, 180, 
timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
MQTT --- 2021/10/24__11:2:57, 12.83, 71.78, 1007.96, 0.00, 180, 
MQTT --- 2021/10/24__11:2:58, 13.06, 71.73, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:2:59, 13.10, 71.68, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:3:0, 13.10, 71.63, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:1, 13.11, 71.58, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:2, 13.12, 71.56, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:3, 13.12, 71.54, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:4, 13.13, 71.51, 1007.98, 0.00, 180, 
MQTT --- 2021/10/24__11:3:5, 13.15, 71.51, 1008.04, 0.00, 180, 
MQTT --- 2021/10/24__11:3:6, 13.13, 71.50, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:7, 13.14, 71.49, 1008.00, 0.00, 180, 
MQTT --- 2021/10/24__11:3:8, 13.14, 71.46, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:3:9, 13.14, 100.00, 1008.01, 0.00, 180, 
MQTT --- 2021/10/24__11:3:10, 13.13, 71.40, 1007.97, 0.00, 180, 
MQTT --- 2021/10/24__11:3:11, 13.15, 71.34, 1007.99, 0.00, 180, 
MQTT --- 2021/10/24__11:3:12, 13.14, 71.29, 1007.99, 0.07, 180, 
MQTT --- 2021/10/24__11:3:13, 13.14, 71.27, 1008.00, 0.07, 180, 
MQTT --- 2021/10/24__11:3:14, 13.15, 71.26, 1008.00, 0.07, 180, 
MQTT --- 2021/10/24__11:3:15, 13.14, 71.26, 1007.98, 0.51, 180, 
MQTT --- 2021/10/24__11:3:16, 13.15, 71.25, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:3:17, 13.16, 71.25, 1008.01, 0.51, 180, 
MQTT --- 2021/10/24__11:3:18, 13.15, 71.24, 1008.00, 0.51, 180, 
MQTT --- 2021/10/24__11:3:19, 13.16, 71.24, 1008.01, 0.51, 225, 
MQTT --- 2021/10/24__11:3:20, 13.16, 71.24, 1008.00, 0.51, 225, 
MQTT --- 2021/10/24__11:3:21, 13.16, 71.24, 1008.01, 0.51, 45, 
MQTT --- 2021/10/24__11:3:22, 13.16, 71.23, 1008.00, 0.51, 180, 
